"Name","InstrumentedAvg","InstrumentedMin","InstrumentedMax","OriginalAvg","OriginalMax","OriginalMin","Slowdown"
"AsyncAwaitCheck.exe","2.1661235","2.0968467","2.3447219","0.2595792","0.2822092","0.2379671","8.34474988751025"
"BoundedAsync.PSharpLibrary.exe","1.708539","1.6411199","1.8170154","0.2519651","0.2688196","0.2347996","6.7808557613733"
"CacheCoherence.PSharpLibrary.exe","2.2065134","2.1405747","2.2935534","0.3404264","0.3795977","0.3225415","6.48161658437771"
"ChainReplication.PSharpLibrary.exe","2.4780049","2.3443367","2.8011708","0.3060011","0.3200356","0.2926884","8.09802611820676"
"Chord.PSharpLibrary.exe","1.7721872","1.7194887","1.8365036","0.2864405","0.3876893","0.2554977","6.18692957176098"
"FailureDetector.PSharpLibrary.exe","2.3959499","2.3068825","2.4834118","0.4397317","0.4648418","0.40966","5.44866312799373"
"German.exe","2.1040804","2.0450698","2.1747573","0.3341878","0.3542657","0.3174807","6.29610177271582"
"LivenessCheck.exe","2.1764453","2.1194114","2.2310581","0.2958378","0.3439187","0.2762058","7.35688711854942"
"MultiPaxos.PSharpLibrary.exe","2.5993423","2.2941237","2.8554109","1.2037724","1.2394094","1.1669923","2.15933036843177"
"PingPong.PSharpLibrary.exe","1.5832425","1.5636321","1.6212201","0.2255304","0.2422329","0.2158477","7.02008465377616"
"PingPong.PSharpLibrary.AsyncAwait.exe","1.6191919","1.5990313","1.6641728","0.2359495","0.2708694","0.2220515","6.86245107533604"
"PingPongWait.exe","1.5775692","1.5510977","1.5983814","0.227886","0.2729238","0.215547","6.9226244701298"
"Raft.PSharpLibrary.exe","4.1494884","3.9446309","4.4085723","2.1771848","2.2854002","1.7427703","1.90589627485917"
"ReplicatingStorage.PSharpLibrary.exe","4.8546983","4.8242591","4.8832164","3.346866","3.3787924","3.3202156","1.45052066619936"
"TaskParallelismCheck.exe","2.1496704","2.073594","2.2148379","0.2581076","0.285268","0.2293548","8.32858234317781"
"TwoPhaseCommit.PSharpLibrary.exe","1.6969269","1.6585874","1.7835786","0.2519787","0.2828387","0.2407648","6.73440612242225"
